"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop"
"43","India",511,12,10,NA,37,464,NA,0.4
"44","Qatar",501,NA,NA,NA,37,464,6,174
"45","Russia",495,57,1,NA,22,472,8,3
"46","Slovenia",442,NA,3,NA,NA,439,12,213
"47","Peru",395,NA,5,NA,1,389,19,12
"48","Bahrain",390,13,2,NA,164,224,3,229
"49","Hong Kong",386,29,4,NA,102,280,4,51
"50","Estonia",369,17,NA,NA,7,362,4,278
"51","Mexico",367,51,4,1,4,359,1,3
"52","Egypt",366,NA,19,NA,68,279,NA,4
"53","Croatia",361,46,1,NA,5,355,6,88
"54","Panama",345,NA,6,NA,1,338,33,80
"55","Colombia",306,29,3,NA,6,297,NA,6
